Year;Residential: Total MMmt CO2;Commercial: Total MMmt CO2;Industrial: Total MMmt CO2;Transportation: Total MMmt CO2;Electric Power: Total MMmt CO2
2050;741815796;623834839;1491378662;1880650024;1144796509
2049;739959595;621678467;1478968018;1866457520;1137591675
2048;738761230;620018616;1472478149;1855380249;1133472290
2047;736864929;617516174;1467361084;1846424805;1127320557
2046;736534607;616331665;1461865112;1836236084;1124529419
2045;735786987;615388916;1454756104;1825412109;1121072266
2044;735898682;614819946;1449459106;1815913330;1119591431
2043;735857300;613846008;1442157715;1808870239;1117544678
2042;737535767;614553955;1437549561;1802201660;1119686523
2041;737756226;613900879;1428974121;1795189941;1117307251
2040;737357910;612515625;1421009766;1789796265;1113200806
2039;739215942;614102844;1417497314;1782961060;1117086670
2038;739293396;613799561;1410705322;1778505981;1115032959
2037;738434326;612709656;1403936890;1777657471;1111588623
2036;740810913;614404785;1398437866;1775495361;1116091797
2035;750131958;621252625;1398505981;1775530762;1137097534
2034;760231262;629173584;1400121094;1778190674;1160451782
2033;776447388;641611023;1407117676;1780458740;1199625610
2032;775504333;640107422;1398824951;1781899658;1191473267
2031;781998718;645026489;1392794067;1787312378;1203809570
2030;787861389;650344055;1391728516;1791840576;1214244507
2029;796704346;657955688;1392156006;1796239502;1235348999
2028;810923462;670979248;1395270020;1803125977;1269232910
2027;813171143;672212708;1390416382;1810016968;1272013550
2026;817879150;675306091;1391257080;1817406616;1282136475
2025;823761475;684244446;1382296143;1818710571;1297628418
2024;839961426;701362427;1383217773;1816023926;1341229736
2023;891974548;750513916;1414977783;1814535767;1474455688
2022;903256592;765488525;1410226929;1804630249;1498266479
2021;934216370;776133545;1382120728;1732414551;1559483154
